qxdata17,qydata17
0.0,13.1
0.01,13.098166666666666
0.02,13.096333333333334
0.03,13.0945
0.04,13.092666666666666
0.05,13.090833333333332
0.06,13.089
0.07,13.087166666666667
0.08,13.085333333333333
0.09,13.083499999999999
0.1,13.081666666666667
0.11,13.079833333333333
0.12,13.078
0.13,13.076166666666666
0.14,13.074333333333334
0.15,13.0725
0.16,13.070666666666666
0.17,13.068833333333332
0.18,13.067
0.19,13.065166666666666
0.2,13.063333333333333
0.21,13.0615
0.22,13.059666666666667
0.23,13.057833333333333
0.24,13.056
0.25,13.054166666666667
0.26,13.052333333333333
0.27,13.0505
0.28,13.048666666666666
0.29,13.046833333333334
0.3,13.045
0.31,13.043166666666666
0.32,13.041333333333332
0.33,13.0395
0.34,13.037666666666667
0.35000000000000003,13.035833333333333
0.36,13.033999999999999
0.37,13.032166666666667
0.38,13.030333333333333
0.39,13.0285
0.4,13.026666666666667
0.41000000000000003,13.024833333333333
0.42,13.023
0.43,13.021166666666666
0.44,13.019333333333334
0.45,13.0175
0.46,13.015666666666666
0.47000000000000003,13.013833333333332
0.48,13.012
0.49,13.010166666666667
0.5,13.008333333333333
0.51,13.006499999999999
0.52,13.004666666666667
0.53,13.002833333333333
0.54,13.001
0.55,12.999166666666666
0.56,12.997333333333334
0.5700000000000001,12.9955
0.58,12.993666666666666
0.59,12.991833333333334
0.6,12.99
0.61,12.988166666666666
0.62,12.986333333333333
0.63,12.9845
0.64,12.982666666666667
0.65,12.980833333333333
0.66,12.979
0.67,12.977166666666667
0.68,12.975333333333333
0.6900000000000001,12.9735
0.7000000000000001,12.971666666666666
0.71,12.969833333333334
0.72,12.968
0.73,12.966166666666666
0.74,12.964333333333332
0.75,12.9625
0.76,12.960666666666667
0.77,12.958833333333333
0.78,12.957
0.79,12.955166666666667
0.8,12.953333333333333
0.81,12.9515
0.8200000000000001,12.949666666666667
0.8300000000000001,12.947833333333334
0.84,12.946
0.85,12.944166666666666
0.86,12.942333333333334
0.87,12.9405
0.88,12.938666666666666
0.89,12.936833333333333
0.9,12.935
0.91,12.933166666666667
0.92,12.931333333333333
0.93,12.929499999999999
0.9400000000000001,12.927666666666667
0.9500000000000001,12.925833333333333
0.96,12.924
0.97,12.922166666666667
0.98,12.920333333333334
0.99,12.9185
1.0,12.916666666666666
1.01,12.914833333333334
1.02,12.913
1.03,12.911166666666666
1.04,12.909333333333333
1.05,12.9075
1.06,12.905666666666667
1.07,12.903833333333333
1.08,12.902
1.09,12.900166666666667
1.1,12.898333333333333
1.11,12.8965
1.12,12.894666666666666
1.1300000000000001,12.892833333333334
1.1400000000000001,12.891
1.1500000000000001,12.889166666666666
1.16,12.887333333333334
1.17,12.8855
1.18,12.883666666666667
1.19,12.881833333333333
1.2,12.88
1.21,12.878166666666667
1.22,12.876333333333333
1.23,12.8745
1.24,12.872666666666667
1.25,12.870833333333334
1.26,12.869
1.27,12.867166666666666
1.28,12.865333333333334
1.29,12.8635
1.3,12.861666666666666
1.31,12.859833333333333
1.32,12.858
1.33,12.856166666666667
1.34,12.854333333333333
1.35,12.852500000000001
1.36,12.850666666666667
1.37,12.848833333333333
1.3800000000000001,12.847
1.3900000000000001,12.845166666666668
1.4000000000000001,12.843333333333334
1.41,12.8415
1.42,12.839666666666666
1.43,12.837833333333334
1.44,12.836
1.45,12.834166666666667
1.46,12.832333333333333
1.47,12.8305
1.48,12.828666666666667
1.49,12.826833333333333
1.5,12.825
1.51,12.823166666666667
1.52,12.821333333333333
1.53,12.8195
1.54,12.817666666666668
1.55,12.815833333333334
1.56,12.814
1.57,12.812166666666666
1.58,12.810333333333334
1.59,12.8085
1.6,12.806666666666667
1.61,12.804833333333333
1.62,12.803
1.6300000000000001,12.801166666666667
1.6400000000000001,12.799333333333333
1.6500000000000001,12.7975
1.6600000000000001,12.795666666666667
1.67,12.793833333333334
1.68,12.792
1.69,12.790166666666668
1.7,12.788333333333334
1.71,12.7865
1.72,12.784666666666666
1.73,12.782833333333334
1.74,12.781
1.75,12.779166666666667
1.76,12.777333333333333
1.77,12.775500000000001
1.78,12.773666666666667
1.79,12.771833333333333
1.8,12.77
1.81,12.768166666666668
1.82,12.766333333333334
1.83,12.7645
1.84,12.762666666666666
1.85,12.760833333333334
1.86,12.759
1.87,12.757166666666667
1.8800000000000001,12.755333333333333
1.8900000000000001,12.7535
1.9000000000000001,12.751666666666667
1.9100000000000001,12.749833333333333
1.92,12.748000000000001
1.93,12.746166666666667
1.94,12.744333333333334
1.95,12.7425
1.96,12.740666666666668
1.97,12.738833333333334
1.98,12.737
1.99,12.735166666666666
2.0,12.733333333333334
2.0100000000000002,12.7315
2.02,12.729666666666667
2.0300000000000002,12.727833333333333
2.04,12.726
2.05,12.724166666666667
2.06,12.722333333333333
2.07,12.720500000000001
2.08,12.718666666666667
2.09,12.716833333333334
2.1,12.715
2.11,12.713166666666668
2.12,12.711333333333334
2.13,12.7095
2.14,12.707666666666666
2.15,12.705833333333334
2.16,12.704
2.17,12.702166666666667
2.18,12.700333333333333
2.19,12.698500000000001
2.2,12.696666666666667
2.21,12.694833333333333
2.22,12.693
2.23,12.691166666666668
2.24,12.689333333333334
2.25,12.6875
2.2600000000000002,12.685666666666666
2.27,12.683833333333334
2.2800000000000002,12.682
2.29,12.680166666666667
2.3000000000000003,12.678333333333335
2.31,12.6765
2.32,12.674666666666667
2.33,12.672833333333333
2.34,12.671000000000001
2.35,12.669166666666667
2.36,12.667333333333334
2.37,12.6655
2.38,12.663666666666668
2.39,12.661833333333334
2.4,12.66
2.41,12.658166666666666
2.42,12.656333333333334
2.43,12.6545
2.44,12.652666666666667
2.45,12.650833333333335
2.46,12.649000000000001
2.47,12.647166666666667
2.48,12.645333333333333
2.49,12.643500000000001
2.5,12.641666666666667
2.5100000000000002,12.639833333333334
2.52,12.638
2.5300000000000002,12.636166666666668
2.54,12.634333333333334
2.5500000000000003,12.6325
2.56,12.630666666666666
2.57,12.628833333333334
2.58,12.627
2.59,12.625166666666667
2.6,12.623333333333333
2.61,12.621500000000001
2.62,12.619666666666667
2.63,12.617833333333333
2.64,12.616
2.65,12.614166666666668
2.66,12.612333333333334
2.67,12.6105
2.68,12.608666666666668
2.69,12.606833333333334
2.7,12.605
2.71,12.603166666666667
2.72,12.601333333333335
2.73,12.5995
2.74,12.597666666666667
2.75,12.595833333333333
2.7600000000000002,12.594000000000001
2.77,12.592166666666667
2.7800000000000002,12.590333333333334
2.79,12.5885
2.8000000000000003,12.586666666666668
2.81,12.584833333333334
2.82,12.583
2.83,12.581166666666668
2.84,12.579333333333334
2.85,12.5775
2.86,12.575666666666667
2.87,12.573833333333335
2.88,12.572000000000001
2.89,12.570166666666667
2.9,12.568333333333333
2.91,12.566500000000001
2.92,12.564666666666668
2.93,12.562833333333334
2.94,12.561
