x,y,x1,y1
,,0.0,0.0
1353.773674,-5.082424451,33.01874752,14.048063614
1353.773674,-5.567824964,37.73574924,13.619770433000001
1504.7172,-6.624283585,47.16975268,13.220028716000002
1283.018913,-7.223894759,61.32075784,12.706075938000001
1353.773674,-7.395213153,80.18823569,12.106463963000001
1433.962439,-7.28100009,103.7735088,11.621064251
1429.245173,-7.766401403,188.6792752,11.621064251
1433.962439,-8.023377392,226.4150245,11.164216804
1509.433937,-7.53797848,245.2830313,10.593157094
1495.283197,-7.937719797,259.4335075,10.022098985
1551.886688,-7.8520606,273.5845126,9.365382481000001
1542.452156,-8.48022484,283.0187806,8.680111310000001
1537.735948,-9.365366669,301.8867875,8.080498535
1542.452156,-9.73655492,311.3207909,7.537993492000001
1537.735948,-10.05063544,339.6225367,7.024039913000001
1537.735948,-10.30761303,400.9432945,7.509441227000001
1424.528435,-11.7352599,419.8113014,8.080498535
1433.962439,-12.10644815,443.395781,8.565899048
1542.452156,-12.33487268,481.1320593,8.879981167
1669.811467,-11.24986099,533.0188137,8.451686785
,,575.4713001,7.9662862720000005
,,636.792587,7.537993492000001
,,698.1133448,7.138252976
,,759.4341026,6.767064725000001
,,820.7548605,6.395875673000001
,,886.7923555,5.910475160000001
,,929.2451065,5.396521582
,,966.9811202,4.882569604
,,985.8491271,4.34006456
,,1009.433871,3.82610938
,,1037.735881,3.25505287
,,1066.037892,2.74109769
,,1122.641383,2.3699094400000007
,,1207.547414,2.19859265
,,1268.868172,1.7988529400000015
,,1325.471664,1.34200549
,,1372.641681,0.8566033700000002
,,1410.376637,0.3712044600000013
,,1471.697395,0.05712234000000116
,,1556.603954,1.6210000000072e-05
,,1632.075453,0.11422687000000131
,,1669.811467,0.5425212600000009
,,1683.962207,0.9422641700000014
,,1688.679474,1.399111620000001
,,1702.830214,1.8559574699999999
,,1702.830214,2.3699094400000007
,,1716.980426,2.8553115600000005
,,1721.698221,3.4263696700000015
,,1735.848962,3.9688763100000006
,,1745.282965,4.5399344190000015
,,1745.282965,5.139547194
,,1754.716969,5.596393041000001
,,1759.434235,6.110345018
,,1768.868238,6.624298597000001
,,1783.018979,7.1668052410000005
,,1778.301184,7.823523346000001
,,1797.16972,8.337474523000001
,,1797.16972,8.851428102
,,1801.886986,9.336829415
,,1816.037726,9.936440589
,,1806.603723,10.536052564
,,1816.037726,10.964345345000002
,,1816.037726,11.506851989000001
,,1820.754993,11.992252502000001
,,1825.47173,12.477652214
,,1825.47173,12.963051927
,,1830.188996,13.362793243
,,1830.188996,13.76253456
,,1830.188996,14.190829342
,,1839.621942,14.476358396
,,,
,,,
