discharge,q_c
4.95,1.6886245142961842
4.67,1.5764477338891494
4.14,1.5244526865173886
3.87,1.4435184686677913
37.98,1.876249460329094
1437.15,3.1297124128681637
335.65,2.9290239336685584
145.3,2.2601413794022447
174.05,2.3869492088267426
1418.32,3.2007443081051936
330.86,2.637022123072976
185.72,2.355489447138434
90.8,2.0686983896520763
76.55,2.240024278161059
71.68,2.103049298550533
68.24,2.1014660753882106
192.22,2.3646716008337236
208.12,1.9429279144235037
473.6,2.5492034013292493
334.75,2.331103690098768
185.99,1.9331103771550764
147.8,1.9606568382409477
90.49,1.9991010899711623
70.1,1.773789218026868
61.94,1.6449056671946785
318.84,2.282307010182688
143.8,1.8686976517307952
344.63,2.4489094080572955
70.92,1.7153126503996083
27.05,1.2506932410666936
26.3,1.1917718036366545
25.84,1.164130085665605
25.93,1.1047161499901965
25.91,1.126321217508527
25.18,1.1749326194247702
25.85,1.1022379514517953
24.8,1.126321217508527
24.63,1.1047161499901965
23.95,1.078334727624383
23.16,1.0678922783238565
25.69,1.137123751267692
26.16,1.1209199506289445
27.04,1.137123751267692
26.16,1.137123751267692
29.12,1.188308608607515
29.76,1.1939799388310766
29.08,1.220181318967571
27.4,1.0946404884930592
26.64,1.112145509834882
28.11,1.0742928964626053
28.26,1.1031490460249913
28.38,1.1031490460249913
26.1,1.0473594157149262
25.18,1.0077642592475782
24.41,1.0507034811943712
21.2,0.9639703933136284
20.32,0.9328925274653257
19.95,0.8993140746863996
10.32,0.6492932992151901
10.07,0.6234398900200715
9.66,0.6541227668913907
8.81,0.6219712934963699
8.27,0.5848136665065545
8.12,0.5911772780263213
8.0,0.565742787988254
7.93,0.5964408619525282
8.81,0.6159962069477445
9.14,0.6010584905761811
9.21,0.6203716023329396
9.22,0.6387813284557312
9.45,0.6272500745155318
9.45,0.6934897331915272
8.81,0.5935340630910347
8.51,0.5935340630910347
5.9,0.5440880882597371
5.59,0.5303615380804627
5.57,0.5578146384390115
5.93,0.5980709473018685
5.89,0.6159962069477445
8.87,0.823691713008706
8.53,0.8316046654649935
8.55,0.755916756467436
7.95,0.7824816682849728
7.95,0.7472619072028198
7.94,0.750976150192506
7.81,0.7346505817100603
7.73,0.7346505817100603
7.76,0.7273835845563267
7.79,0.7382840802869269
11.42,0.6958324751849946
13.03,0.7054714544963967
11.43,0.6958324751849946
11.07,0.6917800574510766
11.08,0.7004689874629141
10.81,0.6917800574510766
13.23,0.7705158862092055
13.41,0.7818860632093282
14.51,0.804231411534526
16.1,0.7530041615226325
14.97,0.7392733236517676
13.78,0.7392733236517676
14.47,0.8001804613748392
13.64,0.8338907509296407
11.33,0.747279967085963
10.65,0.746152085267457
10.4,0.7566845556826431
10.33,0.7391304383239996
11.03,0.77608672377707
11.7,0.8176340860777852
11.67,0.7917980261704486
11.36,0.7724858791906816
13.94,0.8609447137701429
14.87,0.7997675127030924
