um_c,LB1,UB1,velocity
0.5343380260097331,0.4828760238023158,0.5858000282171504,0.483
0.5046525801203037,0.45319057791288636,0.5561145823277209,0.469
0.48238849570323133,0.430926493495814,0.5338504979106486,0.468
0.46754577275851655,0.41608377055109924,0.5190077749659339,0.462
0.5937089177885925,0.5422469155811752,0.6451709199960097,0.525
1.0018837987682498,0.9504217965608326,1.053345800975667,1.047
0.9128274610999608,0.8613654588925436,0.9642894633073781,0.84
0.7124507013463108,0.6609886991388936,0.7639127035537281,0.687
0.749557508708098,0.6980955065006808,0.8010195109155153,0.739
1.0167265217129646,0.9652645195055474,1.0681885239203819,1.031
0.860877930793459,0.8094159285860417,0.9123399330008762,0.881
0.7569788701804554,0.7055168679730381,0.8084408723878727,0.76
0.675343893984524,0.6238818917771067,0.7268058961919412,0.628
0.7198720628186682,0.668410060611251,0.7713340650260855,0.704
0.6976079784015962,0.6461459761941789,0.7490699806090134,0.677
0.675343893984524,0.6238818917771067,0.7268058961919412,0.667
0.7569788701804554,0.7055168679730381,0.8084408723878727,0.768
0.7718215931251702,0.7203595909177529,0.8232835953325874,0.781
0.9796197143511776,0.9281577121437603,1.0310817165585948,0.943
0.9128274610999608,0.8613654588925436,0.9642894633073781,0.883
0.7569788701804554,0.7055168679730381,0.8084408723878727,0.778
0.7569788701804554,0.7055168679730381,0.8084408723878727,0.764
0.7718215931251702,0.7203595909177529,0.8232835953325874,0.707
0.675343893984524,0.6238818917771067,0.7268058961919412,0.626
0.6233943636780221,0.5719323614706049,0.6748563658854394,0.597
0.8979847381552462,0.8465227359478289,0.9494467403626634,0.865
0.749557508708098,0.6980955065006808,0.8010195109155153,0.751
0.949934268461748,0.8984722662543307,1.0013962706691653,0.893
0.6530798095674517,0.6016178073600345,0.704541811774869,0.635
0.46754577275851655,0.41608377055109924,0.5190077749659339,0.476
0.46012441128615916,0.40866240907874185,0.5115864134935765,0.463
0.4452816883414443,0.393819686134027,0.49674369054886164,0.455
0.4452816883414443,0.393819686134027,0.49674369054886164,0.454
0.4452816883414443,0.393819686134027,0.49674369054886164,0.451
0.4452816883414443,0.393819686134027,0.49674369054886164,0.438
0.43786032686908694,0.3863983246616696,0.48932232907650425,0.452
0.4452816883414443,0.393819686134027,0.49674369054886164,0.46
0.4452816883414443,0.393819686134027,0.49674369054886164,0.459
0.4304389653967295,0.3789769631893122,0.4819009676041468,0.458
0.4304389653967295,0.3789769631893122,0.4819009676041468,0.445
0.4452816883414443,0.393819686134027,0.49674369054886164,0.466
0.4452816883414443,0.393819686134027,0.49674369054886164,0.468
0.4452816883414443,0.393819686134027,0.49674369054886164,0.48
0.4452816883414443,0.393819686134027,0.49674369054886164,0.464
0.46754577275851655,0.41608377055109924,0.5190077749659339,0.503
0.46754577275851655,0.41608377055109924,0.5190077749659339,0.511
0.48238849570323133,0.430926493495814,0.5338504979106486,0.509
0.46754577275851655,0.41608377055109924,0.5190077749659339,0.492
0.4527030498138017,0.4012410476063844,0.504165052021219,0.483
0.46754577275851655,0.41608377055109924,0.5190077749659339,0.505
0.48238849570323133,0.430926493495814,0.5338504979106486,0.509
0.48238849570323133,0.430926493495814,0.5338504979106486,0.511
0.4452816883414443,0.393819686134027,0.49674369054886164,0.487
0.4304389653967295,0.3789769631893122,0.4819009676041468,0.477
0.4452816883414443,0.393819686134027,0.49674369054886164,0.471
0.4155962424520147,0.3641342402445974,0.467058244659432,0.433
0.3933321580349425,0.34187015582752517,0.4447941602423598,0.42
0.3859107965625851,0.3344487943551678,0.4373727987700024,0.417
0.2894330974219388,0.23797109521452148,0.3408950996293561,0.297
0.2820117359495814,0.2305497337421641,0.3334737381569987,0.299
0.2820117359495814,0.2305497337421641,0.3334737381569987,0.296
0.274590374477224,0.2231283722698067,0.3260523766846413,0.298
0.26716901300486656,0.21570701079744925,0.3186310152122839,0.289
0.25974765153250917,0.20828564932509186,0.3112096537399265,0.287
0.25974765153250917,0.20828564932509186,0.3112096537399265,0.287
0.26716901300486656,0.21570701079744925,0.3186310152122839,0.285
0.274590374477224,0.2231283722698067,0.3260523766846413,0.297
0.274590374477224,0.2231283722698067,0.3260523766846413,0.297
0.2820117359495814,0.2305497337421641,0.3334737381569987,0.304
0.2820117359495814,0.2305497337421641,0.3334737381569987,0.303
0.2894330974219388,0.23797109521452148,0.3408950996293561,0.309
0.2894330974219388,0.23797109521452148,0.3408950996293561,0.309
0.26716901300486656,0.21570701079744925,0.3186310152122839,0.296
0.26716901300486656,0.21570701079744925,0.3186310152122839,0.294
0.25232629006015184,0.20086428785273452,0.30378829226756915,0.252
0.25232629006015184,0.20086428785273452,0.30378829226756915,0.243
0.25232629006015184,0.20086428785273452,0.30378829226756915,0.246
0.274590374477224,0.2231283722698067,0.3260523766846413,0.256
0.274590374477224,0.2231283722698067,0.3260523766846413,0.255
0.36364671214551286,0.31218470993809555,0.4151087143529302,0.328
0.36364671214551286,0.31218470993809555,0.4151087143529302,0.321
0.3488039892007981,0.29734198699338077,0.4002659914082154,0.33
0.3488039892007981,0.29734198699338077,0.4002659914082154,0.309
0.3413826277284407,0.2899206255210234,0.392844629935858,0.309
0.3413826277284407,0.2899206255210234,0.392844629935858,0.309
0.3339612662560833,0.282499264048666,0.3854232684635006,0.305
0.3339612662560833,0.282499264048666,0.3854232684635006,0.304
0.3339612662560833,0.282499264048666,0.3854232684635006,0.303
0.3339612662560833,0.282499264048666,0.3854232684635006,0.304
0.3042758203666536,0.2528138181592363,0.35573782257407094,0.306
0.3191185433113684,0.2676565411039511,0.3705805455187857,0.326
