velocity,um_c
0.483,0.5343380260097331
0.469,0.5046525801203037
0.468,0.48238849570323133
0.462,0.46754577275851655
0.525,0.5937089177885925
1.047,1.0018837987682498
0.84,0.9128274610999608
0.687,0.7124507013463108
0.739,0.749557508708098
1.031,1.0167265217129646
0.881,0.860877930793459
0.76,0.7569788701804554
0.628,0.675343893984524
0.704,0.7198720628186682
0.677,0.6976079784015962
0.667,0.675343893984524
0.768,0.7569788701804554
0.781,0.7718215931251702
0.943,0.9796197143511776
0.883,0.9128274610999608
0.778,0.7569788701804554
0.764,0.7569788701804554
0.707,0.7718215931251702
0.626,0.675343893984524
0.597,0.6233943636780221
0.865,0.8979847381552462
0.751,0.749557508708098
0.893,0.949934268461748
0.635,0.6530798095674517
0.476,0.46754577275851655
0.463,0.46012441128615916
0.455,0.4452816883414443
0.454,0.4452816883414443
0.451,0.4452816883414443
0.438,0.4452816883414443
0.452,0.43786032686908694
0.46,0.4452816883414443
0.459,0.4452816883414443
0.458,0.4304389653967295
0.445,0.4304389653967295
0.466,0.4452816883414443
0.468,0.4452816883414443
0.48,0.4452816883414443
0.464,0.4452816883414443
0.503,0.46754577275851655
0.511,0.46754577275851655
0.509,0.48238849570323133
0.492,0.46754577275851655
0.483,0.4527030498138017
0.505,0.46754577275851655
0.509,0.48238849570323133
0.511,0.48238849570323133
0.487,0.4452816883414443
0.477,0.4304389653967295
0.471,0.4452816883414443
0.433,0.4155962424520147
0.42,0.3933321580349425
0.417,0.3859107965625851
0.297,0.2894330974219388
0.299,0.2820117359495814
0.296,0.2820117359495814
0.298,0.274590374477224
0.289,0.26716901300486656
0.287,0.25974765153250917
0.287,0.25974765153250917
0.285,0.26716901300486656
0.297,0.274590374477224
0.297,0.274590374477224
0.304,0.2820117359495814
0.303,0.2820117359495814
0.309,0.2894330974219388
0.309,0.2894330974219388
0.296,0.26716901300486656
0.294,0.26716901300486656
0.252,0.25232629006015184
0.243,0.25232629006015184
0.246,0.25232629006015184
0.256,0.274590374477224
0.255,0.274590374477224
0.328,0.36364671214551286
0.321,0.36364671214551286
0.33,0.3488039892007981
0.309,0.3488039892007981
0.309,0.3413826277284407
0.309,0.3413826277284407
0.305,0.3339612662560833
0.304,0.3339612662560833
0.303,0.3339612662560833
0.304,0.3339612662560833
0.306,0.3042758203666536
0.326,0.3191185433113684
0.307,0.3042758203666536
0.3,0.29685445889429624
0.3,0.29685445889429624
0.297,0.29685445889429624
0.329,0.32653990478372585
0.321,0.3339612662560833
0.322,0.3339612662560833
0.356,0.3191185433113684
0.342,0.3116971818390111
0.321,0.3116971818390111
0.342,0.3339612662560833
0.334,0.32653990478372585
0.305,0.29685445889429624
0.295,0.2894330974219388
0.294,0.2894330974219388
0.29,0.2894330974219388
0.3,0.29685445889429624
0.312,0.3042758203666536
0.314,0.3042758203666536
0.309,0.29685445889429624
0.338,0.3339612662560833
0.345,0.3116971818390111
