time,Krishna
2016-06-10 00:00:00,0.41435257
2016-06-11 00:00:00,2.5519876
2016-06-12 00:00:00,1.539815
2016-06-13 00:00:00,0.5648073
2016-06-14 00:00:00,0.26753962
2016-06-15 00:00:00,0.0019758113
2016-06-16 00:00:00,0.27436686
2016-06-17 00:00:00,5.3472137
2016-06-18 00:00:00,7.2122717
2016-06-19 00:00:00,12.161635
2016-06-20 00:00:00,3.1362312
2016-06-21 00:00:00,2.0525868
2016-06-22 00:00:00,1.292425
2016-06-23 00:00:00,3.9327972
2016-06-24 00:00:00,7.806273
2016-06-25 00:00:00,8.236377
2016-06-26 00:00:00,2.7893467
2016-06-27 00:00:00,5.461117
2016-06-28 00:00:00,9.178886
2016-06-29 00:00:00,6.5275683
2016-06-30 00:00:00,2.3314054
2016-07-01 00:00:00,2.0983326
2016-07-02 00:00:00,8.258512
2016-07-03 00:00:00,11.205697
2016-07-04 00:00:00,8.698295
2016-07-05 00:00:00,9.629422
2016-07-06 00:00:00,1.1745491
2016-07-07 00:00:00,0.10922227
2016-07-08 00:00:00,16.094694
2016-07-09 00:00:00,10.033728
2016-07-10 00:00:00,13.548931
2016-07-11 00:00:00,8.591444
2016-07-12 00:00:00,1.9591671
2016-07-13 00:00:00,0.0
2016-07-14 00:00:00,0.017033782
2016-07-15 00:00:00,1.3525958
2016-07-16 00:00:00,2.629226
2016-07-17 00:00:00,4.3586645
2016-07-18 00:00:00,11.445769
2016-07-19 00:00:00,5.711854
2016-07-20 00:00:00,3.0413792
2016-07-21 00:00:00,8.7222185
2016-07-22 00:00:00,16.109997
2016-07-23 00:00:00,5.3306713
2016-07-24 00:00:00,6.6960177
2016-07-25 00:00:00,8.651755
2016-07-26 00:00:00,12.4144335
2016-07-27 00:00:00,9.086557
2016-07-28 00:00:00,6.014917
2016-07-29 00:00:00,4.664443
2016-07-30 00:00:00,6.5162954
2016-07-31 00:00:00,2.0072837
2016-08-01 00:00:00,2.8093913
2016-08-02 00:00:00,6.0269465
2016-08-03 00:00:00,1.8972944
2016-08-04 00:00:00,2.5692112
2016-08-05 00:00:00,3.1678493
2016-08-06 00:00:00,1.6457845
2016-08-07 00:00:00,0.44207248
2016-08-08 00:00:00,0.0013569465
2016-08-09 00:00:00,0.050402015
2016-08-10 00:00:00,0.26545477
2016-08-11 00:00:00,0.3359273
2016-08-12 00:00:00,0.32775778
2016-08-13 00:00:00,0.04577066
2016-08-14 00:00:00,0.027440883
2016-08-15 00:00:00,0.013046479
2016-08-16 00:00:00,0.036381405
2016-08-17 00:00:00,0.042298518
2016-08-18 00:00:00,0.04571656
2016-08-19 00:00:00,0.1066322
2016-08-20 00:00:00,0.047078386
2016-08-21 00:00:00,0.023069156
2016-08-22 00:00:00,0.9635022
2016-08-23 00:00:00,0.41178542
2016-08-24 00:00:00,1.2572227
2016-08-25 00:00:00,7.7585826
2016-08-26 00:00:00,4.2783895
2016-08-27 00:00:00,6.6840973
2016-08-28 00:00:00,2.2403164
2016-08-29 00:00:00,9.400659
2016-08-30 00:00:00,24.148241
2016-08-31 00:00:00,15.389056
2016-09-01 00:00:00,2.1582735
2016-09-02 00:00:00,3.2483401
2016-09-03 00:00:00,2.8865569
2016-09-04 00:00:00,1.3320792
2016-09-05 00:00:00,0.059177518
2016-09-06 00:00:00,0.0076348563
2016-09-07 00:00:00,0.0
2016-09-08 00:00:00,0.0
2016-09-09 00:00:00,0.43945092
2016-09-10 00:00:00,7.146326
2016-09-11 00:00:00,1.6486063
2016-09-12 00:00:00,8.629274
2016-09-13 00:00:00,18.024319
2016-09-14 00:00:00,20.517721
2016-09-15 00:00:00,8.652021
2016-09-16 00:00:00,11.633865
2016-09-17 00:00:00,4.602212
2016-09-18 00:00:00,0.34647095
2016-09-19 00:00:00,0.5173773
2016-09-20 00:00:00,7.5735803
2016-09-21 00:00:00,12.76609
2016-09-22 00:00:00,20.284933
2016-09-23 00:00:00,19.19615
2016-09-24 00:00:00,8.666968
2016-09-25 00:00:00,6.82473
2016-09-26 00:00:00,9.07265
2016-09-27 00:00:00,6.8843703
2016-09-28 00:00:00,4.0205474
2016-09-29 00:00:00,2.1354902
2016-09-30 00:00:00,2.245871
2016-10-01 00:00:00,7.5009565
2016-10-02 00:00:00,3.4828598
2016-10-03 00:00:00,0.9430249
2016-10-04 00:00:00,0.015211148
2016-10-05 00:00:00,0.21289513
2016-10-06 00:00:00,1.6708359
2016-10-07 00:00:00,2.820356
2016-10-08 00:00:00,6.8679395
2016-10-09 00:00:00,3.248527
2016-10-10 00:00:00,3.5990245
2016-10-11 00:00:00,6.191058
2016-10-12 00:00:00,1.5825229
2016-10-13 00:00:00,0.045822848
2016-10-14 00:00:00,0.0
2016-10-15 00:00:00,0.0
2016-10-16 00:00:00,0.34178832
2016-10-17 00:00:00,0.01168511
2016-10-18 00:00:00,0.32236707
2016-10-19 00:00:00,0.26171008
2016-10-20 00:00:00,0.107045025
2016-10-21 00:00:00,0.99709296
2016-10-22 00:00:00,0.14458907
2016-10-23 00:00:00,0.14778502
2016-10-24 00:00:00,0.50669545
2016-10-25 00:00:00,0.29104504
2016-10-26 00:00:00,0.0
2016-10-27 00:00:00,0.0027682155
2016-10-28 00:00:00,0.106341355
2016-10-29 00:00:00,0.38303685
2016-10-30 00:00:00,0.53763837
2016-10-31 00:00:00,1.3244542
2016-11-01 00:00:00,0.7470959
2016-11-02 00:00:00,0.13679604
2016-11-03 00:00:00,0.013700943
2016-11-04 00:00:00,0.23538935
2016-11-05 00:00:00,0.060407266
2016-11-06 00:00:00,0.008694801
2016-11-07 00:00:00,0.020077057
2016-11-08 00:00:00,0.02907299
2016-11-09 00:00:00,0.107984364
2016-11-10 00:00:00,0.045475002
2016-11-11 00:00:00,0.0
2016-11-12 00:00:00,0.0
2016-11-13 00:00:00,0.010643001
2016-11-14 00:00:00,1.3147266
2016-11-15 00:00:00,2.2388785
2016-11-16 00:00:00,1.4153748
2016-11-17 00:00:00,0.09359969
2016-11-18 00:00:00,1.1346482
2016-11-19 00:00:00,0.5694418
2016-11-20 00:00:00,0.050054
2016-11-21 00:00:00,0.009789596
2016-11-22 00:00:00,0.023352707
2016-11-23 00:00:00,0.011913745
2016-11-24 00:00:00,0.009672423
2016-11-25 00:00:00,0.09628664
2016-11-26 00:00:00,0.057223175
2016-11-27 00:00:00,0.07214885
2016-11-28 00:00:00,0.119214416
2016-11-29 00:00:00,0.19557492
2016-11-30 00:00:00,0.8560353
2016-12-01 00:00:00,1.532832
2016-12-02 00:00:00,0.33843237
2016-12-03 00:00:00,0.03705741
2016-12-04 00:00:00,0.079845555
2016-12-05 00:00:00,0.020673176
2016-12-06 00:00:00,0.022392027
2016-12-07 00:00:00,0.0065477043
2016-12-08 00:00:00,0.023072388
2016-12-09 00:00:00,0.046819165
2016-12-10 00:00:00,0.07033758
2016-12-11 00:00:00,0.51325613
2016-12-12 00:00:00,0.8236952
2016-12-13 00:00:00,0.146883
2016-12-14 00:00:00,0.00887094
2016-12-15 00:00:00,0.0
2016-12-16 00:00:00,0.08910533
2016-12-17 00:00:00,0.0025264353
2016-12-18 00:00:00,0.0060226517
2016-12-19 00:00:00,0.0
2016-12-20 00:00:00,0.00044271027
2016-12-21 00:00:00,0.0
2016-12-22 00:00:00,0.0009278052
2016-12-23 00:00:00,0.0
2016-12-24 00:00:00,0.0
2016-12-25 00:00:00,0.0013039882
2016-12-26 00:00:00,0.0022854777
2016-12-27 00:00:00,0.0
2016-12-28 00:00:00,0.006036985
2016-12-29 00:00:00,0.0
2016-12-30 00:00:00,0.00732362
2016-12-31 00:00:00,0.0006619082
2017-01-01 00:00:00,0.010395822
2017-01-02 00:00:00,0.013889359
2017-01-03 00:00:00,0.0031339312
2017-01-04 00:00:00,0.008565845
2017-01-05 00:00:00,0.018192172
2017-01-06 00:00:00,0.03607946
2017-01-07 00:00:00,0.0
2017-01-08 00:00:00,0.0031406686
2017-01-09 00:00:00,0.0
2017-01-10 00:00:00,0.0
2017-01-11 00:00:00,0.0
2017-01-12 00:00:00,0.0017010022
2017-01-13 00:00:00,0.07916462
2017-01-14 00:00:00,0.010305337
2017-01-15 00:00:00,0.0007052583
2017-01-16 00:00:00,0.0
2017-01-17 00:00:00,0.013944403
2017-01-18 00:00:00,0.0
2017-01-19 00:00:00,0.0027486733
2017-01-20 00:00:00,0.0010993636
2017-01-21 00:00:00,0.04190643
