qxdata17,qydata17
3.38,12.2403
3.39,12.23215
3.4,12.224
3.41,12.21585
3.42,12.2077
3.43,12.19955
3.44,12.1914
3.45,12.18325
3.46,12.1751
3.47,12.16695
3.48,12.1588
3.49,12.15065
3.5,12.1425
3.51,12.13435
3.52,12.1262
3.53,12.11805
3.54,12.1099
3.55,12.10175
3.56,12.0936
3.57,12.08545
3.58,12.0773
3.59,12.06915
3.6,12.061
3.61,12.05285
3.62,12.0447
3.63,12.03655
3.64,12.0284
3.65,12.02025
3.66,12.0121
3.67,12.00395
3.68,11.9958
3.69,11.98765
3.7,11.9795
3.71,11.97135
3.72,11.9632
3.73,11.95505
3.74,11.9469
3.75,11.93875
3.76,11.9306
3.77,11.92245
3.78,11.9143
3.79,11.90615
3.8,11.898
3.81,11.88985
3.82,11.8817
3.83,11.87355
3.84,11.8654
3.85,11.85725
3.86,11.8491
3.87,11.84095
3.88,11.8328
3.89,11.82465
3.9,11.8165
3.91,11.80835
3.92,11.8002
3.93,11.79205
3.94,11.7839
3.95,11.77575
3.96,11.7676
3.97,11.75945
3.98,11.7513
3.99,11.74315
4,11.735
4.01,11.72685
4.02,11.7187
4.03,11.71055
4.04,11.7024
4.05,11.69425
4.06,11.6861
4.07,11.67795
4.08,11.6698
4.09,11.66165
4.1,11.6535
4.11,11.64535
4.12,11.6372
4.13,11.62905
4.14,11.6209
4.15,11.61275
4.16,11.6046
4.17,11.59645
4.18,11.5883
4.19,11.58015
4.2,11.572
4.21,11.56385
4.22,11.5557
4.23,11.54755
4.24,11.5394
4.25,11.53125
4.26,11.5231
4.27,11.51495
4.28,11.5068
4.29,11.49865
4.3,11.4905
4.31,11.48235
4.32,11.4742
4.33,11.46605
4.34,11.4579
4.35,11.44975
4.36,11.4416
4.37,11.43345
4.38,11.4253
4.39,11.41715
4.4,11.409
4.41,11.40085
4.42,11.3927
4.43,11.38455
4.44,11.3764
4.45,11.36825
4.46,11.3601
4.47,11.35195
4.48,11.3438
4.49,11.33565
4.5,11.3275
4.51,11.31935
4.52,11.3112
4.53,11.30305
4.54,11.2949
4.55,11.28675
4.56,11.2786
4.57,11.27045
4.58,11.2623
4.59,11.25415
4.6,11.246
4.61,11.23785
4.62,11.2297
4.63,11.22155
4.64,11.2134
4.65,11.20525
4.66,11.1971
4.67,11.18895
4.68,11.1808
4.69,11.17265
4.7,11.1645
4.71,11.15635
4.72,11.1482
4.73,11.14005
4.74,11.1319
4.75,11.12375
4.76,11.1156
4.77,11.10745
4.78,11.0993
4.79,11.09115
4.8,11.083
4.81,11.07485
4.82,11.0667
4.83,11.05855
4.84,11.0504
4.85,11.04225
4.86,11.0341
4.87,11.02595
4.88,11.0178
4.89,11.00965
4.9,11.0015
4.91,10.99335
4.92,10.9852
4.93,10.97705
4.94,10.9689
4.95,10.96075
4.96,10.9526
4.97,10.94445
4.98,10.9363
4.99,10.92815
5,10.92
5.01,10.9133
5.02,10.9066
5.03,10.8999
5.04,10.8932
5.05,10.8865
5.06,10.8798
5.07,10.8731
5.08,10.8664
5.09,10.8597
5.1,10.853
5.11,10.8463
5.12,10.8396
5.13,10.8329
5.14,10.8262
5.15,10.8195
5.16,10.8128
5.17,10.8061
5.18,10.7994
5.19,10.7927
5.2,10.786
5.21,10.7793
5.22,10.7726
5.23,10.7659
5.24,10.7592
5.25,10.7525
5.26,10.7458
5.27,10.7391
5.28,10.7324
5.29,10.7257
5.3,10.719
5.31,10.7123
5.32,10.7056
5.33,10.6989
5.34,10.6922
5.35,10.6855
5.36,10.6788
5.37,10.6721
5.38,10.6654
5.39,10.6587
5.4,10.652
5.41,10.6453
5.42,10.6386
5.43,10.6319
5.44,10.6252
5.45,10.6185
5.46,10.6118
5.47,10.6051
5.48,10.5984
5.49,10.5917
5.5,10.585
5.51,10.5783
5.52,10.5716
5.53,10.5649
5.54,10.5582
5.55,10.5515
5.56,10.5448
5.57,10.5381
5.58,10.5314
5.59,10.5247
5.6,10.518
5.61,10.5113
5.62,10.5046
5.63,10.4979
5.64,10.4912
5.65,10.4845
5.66,10.4778
5.67,10.4711
5.68,10.4644
5.69,10.4577
5.7,10.451
5.71,10.4443
5.72,10.4376
5.73,10.4309
5.74,10.4242
5.75,10.4175
5.76,10.4108
5.77,10.4041
5.78,10.3974
5.79,10.3907
5.8,10.384
5.81,10.3773
5.82,10.3706
5.83,10.3639
5.84,10.3572
5.85,10.3505
5.86,10.3438
5.87,10.3371
5.88,10.3304
5.89,10.3237
5.9,10.317
5.91,10.3103
5.92,10.3036
5.93,10.2969
5.94,10.2902
5.95,10.2835
5.96,10.2768
5.97,10.2701
5.98,10.2634
5.99,10.2567
6,10.25
6.01,10.2433
6.02,10.2366
6.03,10.2299
6.04,10.2232
6.05,10.2165
6.06,10.2098
6.07,10.2031
6.08,10.1964
6.09,10.1897
6.1,10.183
6.11,10.1763
6.12,10.1696
6.13,10.1629
6.14,10.1562
6.15,10.1495
6.16,10.1428
6.17,10.1361
6.18,10.1294
6.19,10.1227
6.2,10.116
6.21,10.1093
6.22,10.1026
6.23,10.0959
6.24,10.0892
6.25,10.0825
6.26,10.0758
6.27,10.0691
6.28,10.0624
6.29,10.0557
6.3,10.049
6.31,10.0423
6.32,10.0356
6.33,10.0289
6.34,10.0222
6.35,10.0155
6.36,10.0088
6.37,10.0021
6.38,9.9954
6.39,9.9887
6.4,9.982
6.41,9.9753
6.42,9.9686
6.43,9.9619
6.44,9.9552
6.45,9.9485
6.46,9.9418
6.47,9.9351
6.48,9.9284
6.49,9.9217
6.5,9.915
6.51,9.9083
6.52,9.9016
6.53,9.8949
6.54,9.8882
6.55,9.8815
6.56,9.8748
6.57,9.8681
6.58,9.8614
6.59,9.8547
6.6,9.848
6.61,9.8413
6.62,9.8346
6.63,9.8279
6.64,9.8212
6.65,9.8145
6.66,9.8078
6.67,9.8011
6.68,9.7944
6.69,9.7877
6.7,9.781
6.71,9.7743
6.72,9.7676
6.73,9.7609
6.74,9.7542
6.75,9.7475
6.76,9.7408
6.77,9.7341
6.78,9.7274
6.79,9.7207
6.8,9.714
6.81,9.7073
6.82,9.7006
6.83,9.6939
6.84,9.6872
6.85,9.6805
6.86,9.6738
6.87,9.6671
6.88,9.6604
6.89,9.6537
6.9,9.647
6.91,9.6403
6.92,9.6336
6.93,9.6269
6.94,9.6202
6.95,9.6135
6.96,9.6068
6.97,9.6001
6.98,9.5934
6.99,9.5867
7,9.58
7.01,9.569375
7.02,9.55875
7.03,9.548125
7.04,9.5375
7.05,9.526875
7.06,9.51625
7.07,9.505625
7.08,9.495
7.09,9.484375
7.1,9.47375
7.11,9.463125
7.12,9.4525
7.13,9.441875
7.14,9.43125
7.15,9.420625
7.16,9.41
7.17,9.399375
7.18,9.38875
7.19,9.378125
7.2,9.3675
7.21,9.356875
7.22,9.34625
7.23,9.335625
7.24,9.325
7.25,9.314375
7.26,9.30375
7.27,9.293125
7.28,9.2825
7.29,9.271875
7.3,9.26125
7.31,9.250625
7.32,9.24
7.33,9.229375
7.34,9.21875
7.35,9.208125
7.36,9.1975
7.37,9.186875
7.38,9.17625
7.39,9.165625
7.4,9.155
7.41,9.144375
7.42,9.13375
7.43,9.123125
7.44,9.1125
7.45,9.101875
7.46,9.09125
7.47,9.080625
7.48,9.07
7.49,9.059375
7.5,9.04875
7.51,9.038125
7.52,9.0275
7.53,9.016875
7.54,9.00625
7.55,8.995625
7.56,8.985
7.57,8.974375
7.58,8.96375
7.59,8.953125
7.6,8.9425
7.61,8.931875
7.62,8.92125
7.63,8.910625
7.64,8.9
7.65,8.889375
7.66,8.87875
7.67,8.868125
7.68,8.8575
7.69,8.846875
7.7,8.83625
7.71,8.825625
7.72,8.815
7.73,8.804375
7.74,8.79375
7.75,8.783125
